ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,85～89歳,1,森川タエ子,女子,セ・我孫子,4:48.51,,,"1:08.41,2:22.59,3:37.21",,,,,,4:28.56,3:14.51,3:14.51,1/9
2,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,85～89歳,2,熊谷一枝,女子,セ・天王洲,5:12.44,,,"1:04.16,2:21.84,3:45.90",,,,,,4:28.56,3:14.51,3:14.51,1/1
3,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,1,佐藤由利子,女子,セ・用賀,3:49.20,,,"52.36,1:49.84,2:50.16",,,,,,3:47.95,3:05.95,3:05.95,3/3
4,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,2,内田良子,女子,セ・用賀,3:51.63,,,"53.55,1:53.81,2:54.64",,,,,,3:47.95,3:05.95,3:05.95,2/8
5,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,3,安澤イソ子,女子,セ・市ヶ尾,4:33.85,,,"55.93,2:01.96,3:15.78",,,,,,3:47.95,3:05.95,3:05.95,1/3
6,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,1,柴崎徳子,女子,セ・柏,3:47.69,,,"51.45,1:48.98,2:47.63",,,,,,3:32.08,2:54.26,2:54.26,2/5
7,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,2,竹原君枝,女子,セ・慶應日吉,3:48.85,,,"53.31,1:50.94,2:50.75",,,,,,3:32.08,2:54.26,2:54.26,3/5
8,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,3,松木弘美,女子,セ・志木,4:15.61,,,"56.41,2:00.96,3:06.76",,,,,,3:32.08,2:54.26,2:54.26,1/6
9,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,4,馬場悦子,女子,セ・清瀬,4:22.52,,,"57.03,2:01.22,3:11.63",,,,,,3:32.08,2:54.26,2:54.26,1/5
10,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,1,菅野泰子,女子,セ・葛西,2:58.84,,,"42.25,1:28.73,2:15.81",,,,,TRUE,3:05.67,2:49.80,2:29.56,6/6
11,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,2,青木華世子,女子,セ・松戸,3:08.16,,,"42.47,1:31.31,2:20.75",,,,,,3:05.67,2:49.80,2:29.56,6/1
12,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,3,中平信子,女子,セ・成瀬,3:17.20,,,"45.05,1:34.99,2:26.97",,,,,,3:05.67,2:49.80,2:29.56,5/9
13,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,4,青砥美智子,女子,セ・葛西,3:32.54,,,"50.02,1:43.91,2:38.99",,,,,,3:05.67,2:49.80,2:29.56,3/8
14,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,5,岡村悦子,女子,セ・おおたか,3:36.78,,,"49.77,1:45.66,2:44.11",,,,,,3:05.67,2:49.80,2:29.56,4/9
15,78,2025,5,31,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,6,菅和江,女子,セ・戸塚,3:43.20,,,"53.73,1:52.50,2:49.79",,,,,,3:05.67,2:49.80,2:29.56,3/9
