ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,321,3:23.06,,1,,1,内田良子,,セ・用賀,48.52,,,,,,,,,3:16.24,2:52.72,2:52.72,1/8
2,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,321,3:23.06,,2,,1,舘野圭子,,セ・用賀,55.29,,,,,,,,,3:16.24,2:52.72,2:52.72,1/8
3,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,321,3:23.06,,3,,1,崎山治子,,セ・用賀,51.15,,,,,,,,,3:16.24,2:52.72,2:52.72,1/8
4,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,321,3:23.06,,4,,1,佐藤由利子,,セ・用賀,48.10,,,,,,,,,3:16.24,2:52.72,2:52.72,1/8
5,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,3:25.57,,1,,1,梅田栄己子,,セ・天王洲,46.18,,,,,,,,,2:45.72,2:23.39,2:14.99,1/2
6,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,3:25.57,,2,,1,長谷川節子,,セ・天王洲,53.86,,,,,,,,,2:45.72,2:23.39,2:14.99,1/2
7,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,3:25.57,,3,,1,平田美佐子,,セ・天王洲,1:01.85,,,,,,,,,2:45.72,2:23.39,2:14.99,1/2
8,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,3:25.57,,4,,1,櫻田琴,,セ・天王洲,43.68,,,,,,,,,2:45.72,2:23.39,2:14.99,1/2
9,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,285,3:27.33,,1,,2,池淵玲子,,セ・慶應日吉,55.42,,,,,,,,,2:45.72,2:23.39,2:14.99,1/3
10,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,285,3:27.33,,2,,2,田野倉和子,,セ・慶應日吉,54.36,,,,,,,,,2:45.72,2:23.39,2:14.99,1/3
11,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,285,3:27.33,,3,,2,戸倉陽子,,セ・慶應日吉,53.34,,,,,,,,,2:45.72,2:23.39,2:14.99,1/3
12,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,285,3:27.33,,4,,2,中野朗子,,セ・慶應日吉,44.21,,,,,,,,,2:45.72,2:23.39,2:14.99,1/3
13,80,2026,5,2,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,284,3:37.99,,1,,3,小高和子,,セ・桶川北本,1:04.23,,,,,,,,,2:45.72,2:23.39,2:14.99,1/9
