ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
30,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,247,2:24.01,,2,,1,野島久枝,,セ・二俣川,37.80,,,,,,,,,2:18.66,2:07.60,2:00.75,3/2
31,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,247,2:24.01,,3,,1,武井麻知子,,セ・二俣川,37.17,,,,,,,,,2:18.66,2:07.60,2:00.75,3/2
32,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,247,2:24.01,,4,,1,永瀬秀子,,セ・二俣川,31.82,,,,,,,,,2:18.66,2:07.60,2:00.75,3/2
33,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,244,2:38.42,,1,,2,田村明美,,セ・慶應日吉,40.77,,,,,,,,,2:18.66,2:07.60,2:00.75,2/4
34,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,244,2:38.42,,2,,2,中野朗子,,セ・慶應日吉,43.69,,,,,,,,,2:18.66,2:07.60,2:00.75,2/4
35,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,244,2:38.42,,3,,2,井手敦子,,セ・慶應日吉,39.93,,,,,,,,,2:18.66,2:07.60,2:00.75,2/4
36,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,244,2:38.42,,4,,2,前畑章子,,セ・慶應日吉,34.03,,,,,,,,,2:18.66,2:07.60,2:00.75,2/4
37,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,251,2:41.45,,1,,3,五十嵐知佐,,セ・おおたか,37.19,,,,,,,,,2:18.66,2:07.60,2:00.75,2/2
38,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,251,2:41.45,,2,,3,育村博子,,セ・おおたか,43.57,,,,,,,,,2:18.66,2:07.60,2:00.75,2/2
39,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,251,2:41.45,,3,,3,岡村悦子,,セ・おおたか,42.09,,,,,,,,,2:18.66,2:07.60,2:00.75,2/2
40,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,251,2:41.45,,4,,3,野崎由美子,,セ・おおたか,38.60,,,,,,,,,2:18.66,2:07.60,2:00.75,2/2
