ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,320～359歳,324,1:47.78,,1,,1,川口栄子,,松戸,25.13,,,,,,,,,:,,,2/2
2,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,320～359歳,324,1:47.78,,2,,1,後藤節子,,松戸,25.13,,,,,,,,,:,,,2/2
3,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,320～359歳,324,1:47.78,,3,,1,八田清子,,松戸,34.75,,,,,,,,,:,,,2/2
4,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,320～359歳,324,1:47.78,,4,,1,須山順子,,松戸,25.03,,,,,,,,,:,,,2/2
5,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,289,1:26.35,,1,,1,松村恵子,,葛西,22.82,,,,,,,,,1:19.71,,,4/7
6,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,289,1:26.35,,2,,1,小澤優子,,葛西,22.82,,,,,,,,,1:19.71,,,4/7
7,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,289,1:26.35,,3,,1,大山恵子,,葛西,25.46,,,,,,,,,1:19.71,,,4/7
8,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,289,1:26.35,,4,,1,青砥美智子,,葛西,18.97,,,,,,,,,1:19.71,,,4/7
9,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,286,1:31.00,,1,,2,後藤明美,,天王洲,23.79,,,,,,,,,1:19.71,,,2/6
10,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,286,1:31.00,,2,,2,櫻田琴,,天王洲,23.79,,,,,,,,,1:19.71,,,2/6
11,76,2024,5,11,短水路,チーム,3,4×25mメドレーリレー,女子,280～319歳,286,1:31.00,,3,,2,浅野みどり,,天王洲,23.66,,,,,,,,,1:19.71,,,2/6
